;t_id;h_id
0;5;137
1;10;427
2;10;122
3;12;53
4;14;363
5;15;53
6;17;137
7;18;253
8;19;428
9;27;137
10;28;137
11;29;406
12;29;137
13;30;53
14;31;344
15;34;137
16;35;74
17;36;137
18;39;74
19;41;74
20;42;81
21;42;53
22;46;104
23;46;81
24;50;74
25;52;299
26;52;330
27;52;53
28;54;22
29;56;299
30;57;330
31;57;406
32;58;406
33;58;53
34;59;22
35;60;299
36;62;103
37;63;22
38;65;22
39;66;22
40;68;299
41;69;241
42;69;406
43;69;22
44;70;22
45;71;22
46;72;382
47;72;299
48;73;22
49;75;299
50;77;22
51;78;299
52;79;226
53;80;406
54;81;406
55;81;53
56;82;299
57;85;226
58;86;22
59;88;299
60;89;299
61;91;159
62;92;22
63;93;299
64;94;22
65;95;299
66;96;299
67;97;22
68;98;299
69;100;406
70;100;53
71;101;22
72;102;53
73;103;406
74;104;22
75;106;22
76;107;406
77;110;299
78;111;406
79;112;226
80;113;22
81;114;312
82;114;406
83;115;22
84;116;299
85;119;226
86;121;406
87;123;299
88;124;299
89;125;299
90;126;299
91;127;299
92;128;299
93;129;299
94;131;299
95;131;174
96;133;299
97;134;299
98;138;299
99;139;297
100;139;143
101;139;406
102;140;299
103;141;299
104;142;299
105;146;406
106;151;253
107;171;253
108;179;146
109;187;399
110;199;122
111;207;391
112;207;97
113;207;358
114;208;53
115;255;119
116;258;364
117;263;330
118;263;122
119;264;330
120;264;122
121;270;363
122;270;330
123;327;305
124;372;53
125;418;330
126;421;207
127;421;31
128;421;359
129;421;174
130;422;220
131;422;184
132;443;66
133;463;53
134;468;123
135;468;53
136;469;53
137;479;58
138;480;53
139;480;330
140;482;323
141;500;363
142;520;363
143;520;330
144;543;237
145;568;122
146;570;122
147;573;330
148;573;53
149;586;53
150;628;330
151;636;330
152;636;363
153;638;253
154;644;122
155;653;363
156;653;53
157;656;330
158;656;350
159;674;330
160;674;363
161;684;316
162;698;102
163;703;25
164;704;25
165;708;25
166;709;25
167;710;25
168;712;25
169;716;25
170;717;25
171;718;25
172;719;25
173;720;25
174;722;25
175;729;330
176;740;330
177;740;53
178;745;320
179;750;23
180;750;122
181;756;363
182;769;23
183;770;23
184;770;363
185;773;104
186;775;330
187;784;330
188;789;145
189;790;330
190;793;145
191;793;330
192;795;53
193;830;122
194;830;363
195;836;53
